Time,Return,Drawdown
December 2010,0.07605300000000006,-0.018979080000000068
January 2011,0.039119312299327955,-0.017171329580626317
February 2011,0.8355048664733877,0.0
March 2011,0.1684034852409076,-0.009184733658292527
April 2011,0.03576096637370726,0.0
May 2011,0.14758008430906852,0.0
June 2011,0.006481489836475213,0.0
July 2011,0.00033230094929370034,0.0
August 2011,0.013821234882702291,0.0
September 2011,0.05871226217126237,0.0
October 2011,0.0723256674073471,-0.004579701663848641
November 2011,0.0076371860440368495,0.0
December 2011,0.01111101749858786,-0.005441001402876696
January 2012,0.020273571684588612,0.0
February 2012,0.01780605747614172,0.0
March 2012,0.036197183626635154,0.0
April 2012,0.009860852705474191,0.0
May 2012,0.03143216015339822,0.0
June 2012,0.022196987763805583,0.0
July 2012,0.008245221867878464,0.0
August 2012,0.004201621709003511,-0.0040306731380977965
September 2012,0.013202287067554356,-0.004669881798790938
October 2012,0.005355754382200906,-0.003582007670580841
November 2012,0.02673500666116523,-0.004407647924182287
December 2012,0.009590159411941617,0.0
January 2013,0.09940563541459449,-0.004465252408160585
February 2013,0.003938848408607222,-0.004146547720258991
March 2013,0.0076352021505043345,-0.0031534858655554257
April 2013,0.013745147980006645,0.0
May 2013,0.010999268225221763,0.0
June 2013,0.012439111582088647,0.0
July 2013,0.0009120897956567437,0.0
August 2013,0.0006136592128282049,0.0
September 2013,0.0010520966005236863,0.0
October 2013,0.007978465302660649,-0.0038890847114148473
November 2013,0.00830622414795417,-0.0014180665763295546
December 2013,0.007801447687197023,0.0
January 2014,0.015324850593101224,-0.0038418413050645777
February 2014,0.023244469134509955,0.0
March 2014,0.0363665264485903,0.0
April 2014,0.015963492607691768,0.0
May 2014,0.025402305039116238,0.0
June 2014,0.017469323889233435,0.0
July 2014,0.007791227878031738,0.0
August 2014,0.0,0.0
September 2014,0.002195904935446176,0.0
October 2014,0.019253684623678716,0.0
November 2014,0.017420330277619217,-0.00031201775881459047
December 2014,0.01580325497183135,0.0
January 2015,0.007317122802659323,-0.0024989717095988745
February 2015,0.00806188667601548,0.0
March 2015,0.004767240941185202,-0.0028286487199654002
April 2015,0.015667945942535278,0.0
May 2015,0.013450453376975032,0.0
June 2015,0.011728746057827182,0.0
July 2015,0.0037054877697079193,-0.002877613760118051
August 2015,-0.0009991860852180585,-0.0026587576958846415
September 2015,0.003468828250408856,0.0
October 2015,0.015566958827880626,0.0
November 2015,0.07736784707728425,0.0
December 2015,0.02926714809491599,0.0
January 2016,0.010645762365930508,0.0
February 2016,0.03318548306942194,0.0
March 2016,0.2591657315020065,0.0
April 2016,0.02494920221683776,0.0
May 2016,0.13022728231434663,0.0
June 2016,0.01824015321318398,0.0
July 2016,0.0021755435712661453,-0.0015665630784925358
August 2016,0.003993245758659398,0.0
September 2016,0.003313344320378531,-0.001580399757665862
October 2016,0.10565942926856213,0.0
November 2016,0.27269945077633795,0.0
December 2016,0.04944932588755618,0.0
January 2017,0.06597025846177959,0.0
February 2017,0.11914456201821666,0.0
March 2017,0.02615342545300897,-1.7834564093006517e-05
April 2017,0.07813555908069099,0.0
May 2017,0.04174828238957044,0.0
June 2017,0.011706650066538296,-0.0007254070435521158
July 2017,0.11908883159655803,0.0
August 2017,0.05633595987493872,0.0
September 2017,0.04795245276808636,0.0
October 2017,0.016817185945574225,0.0
November 2017,0.043953450127267896,0.0
December 2017,0.0224043764240761,0.0
January 2018,0.0031678341762460603,-0.00020122684959832264
February 2018,0.023562610205532287,0.0
March 2018,0.0202286649833739,0.0
April 2018,0.009774916151282096,-8.729090252089309e-05
May 2018,0.0266166376423464,0.0
June 2018,0.014813376712613362,0.0
July 2018,0.013260830405024472,-0.00023185669521968066
August 2018,0.026167965065262384,0.0
