,Time,Return,Drawdown
0,December 2010,0.12303562900000052,-0.018425858000000336
1,January 2011,0.11760611567590303,-0.014785542149915771
2,February 2011,0.11090397963009359,0.0
3,March 2011,0.2652608613327923,-0.012986338466992445
4,April 2011,0.783798354227259,0.0
5,May 2011,0.015261921418320766,0.0
6,June 2011,0.020074861186498223,0.0
7,July 2011,0.0,0.0
8,August 2011,0.004110360297940209,0.0
9,September 2011,0.09308335861738673,-0.0036892448972361317
10,October 2011,0.028081810422471293,-0.004028675138001902
11,November 2011,0.06016758742288814,0.0
12,December 2011,0.014009481676168145,-0.0041691292463593745
13,January 2012,0.10225550841453875,0.0
14,February 2012,0.0171743489063905,0.0
15,March 2012,0.037534037101029115,0.0
16,April 2012,0.011263529976421794,0.0
17,May 2012,0.02462499511363109,0.0
18,June 2012,0.024589332684820137,0.0
19,July 2012,0.006609665686457258,0.0
20,August 2012,0.004907164408459289,-0.002985612254957901
21,September 2012,0.007489663960432372,-0.003698873153983631
22,October 2012,0.015930122045841672,0.0
23,November 2012,0.0026545867283533486,-0.003717738145909539
24,December 2012,0.01021941362546598,0.0
25,January 2013,0.02600067807772989,0.0
26,February 2013,0.0065605745410497384,-0.003226559966421969
27,March 2013,0.011613244436736711,-0.0024038772213344985
28,April 2013,0.008303123169494801,0.0
29,May 2013,0.03649749744259162,0.0
30,June 2013,0.016640658278464872,0.0
31,July 2013,0.0077302920777958355,0.0
32,August 2013,0.0024359153351309,0.0
33,September 2013,0.006199893617330158,0.0
34,October 2013,0.011854392884473318,-0.00152503700419393
35,November 2013,0.016596981796170966,0.0
36,December 2013,0.003934731586021779,0.0
37,January 2014,0.014352223458171423,-0.00038264004808904957
38,February 2014,0.02195691429984372,0.0
39,March 2014,0.033407238683467316,0.0
40,April 2014,0.008384976265096563,-0.002487810266037071
41,May 2014,0.021581089226086946,0.0
42,June 2014,0.014557471862053067,0.0
43,July 2014,0.006705076193083884,0.0
44,August 2014,0.0,0.0
45,September 2014,0.0018868765649810927,0.0
46,October 2014,0.013439524038018588,0.0
47,November 2014,0.022039958699360596,0.0
48,December 2014,0.014844865603944008,0.0
49,January 2015,0.005281844568501326,-0.0007732210323292601
50,February 2015,0.016581214619268304,0.0
51,March 2015,0.00813042998808065,-0.002554836681587799
52,April 2015,0.0371407913462911,0.0
53,May 2015,0.01934115880324269,0.0
54,June 2015,0.012581582407063143,0.0
55,July 2015,0.010528944589015224,-0.002317949419877088
56,August 2015,-0.000749221322101701,-0.0019601357441900303
57,September 2015,0.008182187000722594,0.0
58,October 2015,0.03787743976313457,0.0
59,November 2015,0.06625064291138669,0.0
60,December 2015,0.09235278934086648,0.0
61,January 2016,0.04590650945678962,0.0
62,February 2016,0.06287668793973597,0.0
63,March 2016,0.25058992216420584,0.0
64,April 2016,0.04449724484445736,0.0
65,May 2016,0.0973562490712681,0.0
66,June 2016,0.030539242436818596,0.0
67,July 2016,0.005683051663237062,-0.0010975937751531635
68,August 2016,0.0030746801215889826,0.0
69,September 2016,0.014045342182513952,-0.0021039021076573318
70,October 2016,0.05548533963584771,0.0
71,November 2016,0.14368307437468716,0.0
72,December 2016,0.043106718525795215,0.0
73,January 2017,0.051855035911170334,0.0
74,February 2017,0.10401360477978452,-0.00039009310991303174
75,March 2017,0.0651450962951935,0.0
76,April 2017,0.08669434869051577,0.0
77,May 2017,0.10114730551462398,0.0
78,June 2017,0.05553045124781313,0.0
79,July 2017,0.048835137998168826,0.0
80,August 2017,0.15258831516450738,0.0
81,September 2017,0.05848681161679076,0.0
82,October 2017,0.05790943007629851,0.0
83,November 2017,0.059548569700214236,-0.000133846362502702
84,December 2017,0.02049820668591898,0.0
85,January 2018,0.01153696252624164,0.0
86,February 2018,0.01776448269495516,0.0
87,March 2018,0.02599349729437365,0.0
88,April 2018,0.0073486787398402845,-3.365349078397286e-05
89,May 2018,0.02092240475271759,0.0
90,June 2018,0.01145339957031866,0.0
91,July 2018,0.009016330924649124,-2.674289706922204e-05
92,August 2018,0.027497271543053453,-0.00012808965456845671
