RTDTimestamp,RepeatedHourFlag,IntervalId,IntervalEnding,IntervalRepeatedHourFlag,SettlementPoint,SettlementPointType,LMP
08/19/2018 22:50:01,N,1,08/19/2018 22:55:00,N,BRAUNIG_VHB2,RN,26.58
08/19/2018 22:50:01,N,1,08/19/2018 22:55:00,N,BRAUNIG_VHB3,RN,26.58
08/19/2018 22:50:01,N,1,08/19/2018 22:55:00,N,BRAZ_WND_ALL,RN,26.58
08/19/2018 22:50:01,N,1,08/19/2018 22:55:00,N,BRA_AVR1_CT2,PCCRN,26.58
08/19/2018 22:50:01,N,1,08/19/2018 22:55:00,N,BRA_AVR_CST1,PCCRN,26.58
08/19/2018 22:50:01,N,1,08/19/2018 22:55:00,N,BRISCOE_WIND,RN,26.58
08/19/2018 22:50:01,N,1,08/19/2018 22:55:00,N,BRTSW_BCW1,RN,26.58
08/19/2018 22:50:01,N,1,08/19/2018 22:55:00,N,BR_VHB6CT5_6,RN,26.58
08/19/2018 22:50:01,N,1,08/19/2018 22:55:00,N,BR_VHB6CT7_8,RN,26.58
08/19/2018 22:50:01,N,1,08/19/2018 22:55:00,N,BSF_PUN1,PUN,26.58
08/19/2018 22:50:01,N,1,08/19/2018 22:55:00,N,BSF_PUN2,PUN,26.58
08/19/2018 22:50:01,N,1,08/19/2018 22:55:00,N,BTE_BTE_G1,PCCRN,26.58
08/19/2018 22:50:01,N,1,08/19/2018 22:55:00,N,BTE_BTE_G2,PCCRN,26.58
08/19/2018 22:50:01,N,1,08/19/2018 22:55:00,N,BTE_BTE_G3,PCCRN,26.58
08/19/2018 22:50:01,N,1,08/19/2018 22:55:00,N,BTE_BTE_G4,PCCRN,26.58
08/19/2018 22:50:01,N,1,08/19/2018 22:55:00,N,BTE_CC1,LCCRN,26.58
08/19/2018 22:50:01,N,1,08/19/2018 22:55:00,N,BTE_PUN1,PUN,26.58
08/19/2018 22:50:01,N,1,08/19/2018 22:55:00,N,BTE_PUN2,PUN,26.58
08/19/2018 22:50:01,N,1,08/19/2018 22:55:00,N,BUCHAN_ALL,RN,26.58
08/19/2018 22:50:01,N,1,08/19/2018 22:55:00,N,BUCKTHRN_RN,RN,26.58
08/19/2018 22:50:01,N,1,08/19/2018 22:55:00,N,BUFF_GAP_ALL,RN,26.58
08/19/2018 22:50:01,N,1,08/19/2018 22:55:00,N,BULLCRK_1_2,RN,26.58
08/19/2018 22:50:01,N,1,08/19/2018 22:55:00,N,BVE_CC1,LCCRN,26.58
08/19/2018 22:50:01,N,1,08/19/2018 22:55:00,N,BVE_UNIT1,PCCRN,26.58
08/19/2018 22:50:01,N,1,08/19/2018 22:55:00,N,BVE_UNIT2,PCCRN,26.58
08/19/2018 22:50:01,N,1,08/19/2018 22:55:00,N,BVE_UNIT3,PCCRN,26.58
08/19/2018 22:50:01,N,1,08/19/2018 22:55:00,N,BYU_BYU_1,RN,26.58
08/19/2018 22:50:01,N,1,08/19/2018 22:55:00,N,BYU_BYU_12,PCCRN,26.58
08/19/2018 22:50:01,N,1,08/19/2018 22:55:00,N,BYU_BYU_34,PCCRN,26.58
08/19/2018 22:50:01,N,1,08/19/2018 22:55:00,N,BYU_BYU_G8,PCCRN,26.58
08/19/2018 22:50:01,N,1,08/19/2018 22:55:00,N,BYU_CC1,LCCRN,26.58
08/19/2018 22:50:01,N,1,08/19/2018 22:55:00,N,BYU_PUN1,PUN,26.58
