,Time,Return,Drawdown
0,December 2010,0.018432530199999384,-0.0035663565999999266
1,January 2011,0.009884275833707294,-0.0034747020764030767
2,February 2011,0.05583801495118316,0.0
3,March 2011,0.07925792804205153,-0.003144643236175095
4,April 2011,0.02097974663211839,0.0
5,May 2011,0.04332340883119448,-0.0010786131446630075
6,June 2011,0.00990796560597481,0.0
7,July 2011,0.0006240618679944234,0.0
8,August 2011,0.002248476463806924,0.0
9,September 2011,0.052389567309087205,0.0
10,October 2011,0.03458805788221004,0.0
11,November 2011,0.09220298463196591,0.0
12,December 2011,0.009838214503072363,0.0
13,January 2012,0.010588159522755438,0.0
14,February 2012,0.009780543771897736,0.0
15,March 2012,0.029336916427421957,0.0
16,April 2012,0.009280513320318299,0.0
17,May 2012,0.006577671976214715,0.0
18,June 2012,0.007866803991111877,0.0
19,July 2012,0.0017985907366508032,-0.001990645796524423
20,August 2012,0.0014825296304881107,-0.0012577612409856445
21,September 2012,0.004687285486663573,-0.0013180417538626577
22,October 2012,0.005816540359942795,-0.0019748790286053587
23,November 2012,0.007089272671945194,-0.001718601548002758
24,December 2012,0.030658243775791436,0.0
25,January 2013,0.01845787239114084,-0.0010609574353104736
26,February 2013,0.008671167127985189,-0.0016644902984932698
27,March 2013,0.008181858951351024,-0.000945441400790002
28,April 2013,0.010784844212217919,-0.001806248144258359
29,May 2013,0.01329209513639468,0.0
30,June 2013,0.010237536926255557,0.0
31,July 2013,0.003971488750356925,0.0
32,August 2013,0.00013635382853891998,0.0
33,September 2013,0.003639715686150976,0.0
34,October 2013,0.010764896480002631,-0.00030656317005597856
35,November 2013,0.008385019179806717,0.0
36,December 2013,0.003457700536617041,0.0
37,January 2014,0.012253070804362953,-0.00022974290239047052
38,February 2014,0.013848810768266927,0.0
39,March 2014,0.020614060687834945,0.0
40,April 2014,0.00975122400826283,0.0
41,May 2014,0.011606295695455932,0.0
42,June 2014,0.008189643061629653,0.0
43,July 2014,0.004094221092922296,0.0
44,August 2014,0.0,0.0
45,September 2014,0.001362815483078781,0.0
46,October 2014,0.010315614186109035,0.0
47,November 2014,0.010592125967386457,0.0
48,December 2014,0.01210612093537218,0.0
49,January 2015,0.0008480416019934247,-0.001402934460628596
50,February 2015,0.0033338091870771065,-0.0015473695494808302
51,March 2015,0.0016241194404917271,-0.0015358329793781146
52,April 2015,0.0030540660287880507,-0.0015056062737989527
53,May 2015,0.006836141230374689,0.0
54,June 2015,0.0012003212886658359,-0.0014521094879453183
55,July 2015,0.001348176638738478,-0.0011869772532314398
56,August 2015,-0.0008005131913654503,-0.0010610475176294155
57,September 2015,0.0012513946917800751,-0.0015067097851731964
58,October 2015,0.007604877842281313,0.0
59,November 2015,0.006945526492183292,-0.0014041043067090262
60,December 2015,0.04066776561683623,-0.0007099938488330776
61,January 2016,0.009968230621218198,0.0
62,February 2016,0.014943557680704135,0.0
63,March 2016,0.1576926139778447,0.0
64,April 2016,0.018567206573786545,0.0
65,May 2016,0.021193366083762478,0.0
66,June 2016,0.003695219397003421,0.0
67,July 2016,0.011355754895766883,-0.0006918058965786899
68,August 2016,0.0010177941886488962,-0.0007397029209111558
69,September 2016,0.018249513118617288,-0.0026966895031866806
70,October 2016,0.07909397273733301,0.0
71,November 2016,0.14077992085602778,0.0
72,December 2016,0.023284271251196476,-0.0002286491796655891
73,January 2017,0.05833178631744043,0.0
74,February 2017,0.10068530241711726,-0.000296250296900004
75,March 2017,0.043682068929227866,-2.259071349625301e-05
76,April 2017,0.06440362647581487,0.0
77,May 2017,0.06901329012315392,-4.5620579101703216e-05
78,June 2017,0.00832292955058167,-0.000951733674669324
79,July 2017,0.04737496583754468,0.0
80,August 2017,0.06247699636912966,0.0
81,September 2017,0.036467006600071086,0.0
82,October 2017,0.021542476978336465,0.0
83,November 2017,0.05125902630226173,0.0
84,December 2017,0.02395009834640635,0.0
85,January 2018,0.0094638614178338,-0.00028018585612488427
86,February 2018,0.013372158144689634,0.0
87,March 2018,0.027505560048702735,0.0
88,April 2018,0.012879548705360167,-2.2059488934635387e-05
89,May 2018,0.021680996015434262,0.0
90,June 2018,0.012188239168164045,0.0
91,July 2018,0.01086980115215808,-6.871767064443026e-05
92,August 2018,0.030407338491398525,0.0
