,Time,Return,Drawdown
0,December 2010,0.41059836600000055,-0.0024602460000000066
1,January 2011,0.19566923487344565,-0.0010072441261976728
2,February 2011,0.28334531106749217,0.0
3,March 2011,0.31132648945048547,-0.00012391104339516372
4,April 2011,0.37093907359493095,0.0
5,May 2011,0.16225138769951103,0.0
6,June 2011,0.21607634794816888,0.0
7,July 2011,0.006494085933230713,0.0
8,August 2011,0.003797654825461448,0.0
9,September 2011,0.013292233666859379,0.0
10,October 2011,0.12038009458940731,0.0
11,November 2011,0.35443874913848344,0.0
12,December 2011,0.01906979828356049,0.0
13,January 2012,0.036678471748524,0.0
14,February 2012,0.020090955459552313,-0.00019388959065344498
15,March 2012,0.036448732468229175,0.0
16,April 2012,0.013118946702261743,0.0
17,May 2012,0.023763807552844303,0.0
18,June 2012,0.03561274121136738,0.0
19,July 2012,0.0009221008292857429,0.0
20,August 2012,0.004355258463493893,0.0
21,September 2012,0.004764575734080795,0.0
22,October 2012,0.01242621278003242,0.0
23,November 2012,0.004774393334664915,0.0
24,December 2012,0.011115742743982752,0.0
25,January 2013,0.019412082003846816,0.0
26,February 2013,0.018100947578377623,0.0
27,March 2013,0.02350290364769399,-4.037964036492065e-05
28,April 2013,0.033996842307671846,-0.00020945616261568403
29,May 2013,0.008405927473102757,0.0
30,June 2013,0.007163330744831061,0.0
31,July 2013,0.001434246698882284,0.0
32,August 2013,0.0014034730495148973,0.0
33,September 2013,0.009478328442772072,0.0
34,October 2013,0.005135664465656296,0.0
35,November 2013,0.002503539455191698,0.0
36,December 2013,0.0,0.0
37,January 2014,0.005821497342043324,-0.00015247853754682986
38,February 2014,0.0030045487685376746,0.0
39,March 2014,0.00773108861179372,0.0
40,April 2014,0.0029344471517991225,0.0
41,May 2014,0.002449755723715662,0.0
42,June 2014,0.0,0.0
43,July 2014,0.0011318354695257478,0.0
44,August 2014,0.0,0.0
45,September 2014,0.0011458718172976834,0.0
46,October 2014,0.0017666945340512443,0.0
47,November 2014,0.00678803864812793,0.0
48,December 2014,0.0044147389427827725,0.0
49,January 2015,0.0022096620457545298,0.0
50,February 2015,0.004892204578622805,0.0
51,March 2015,0.004058498995281468,0.0
52,April 2015,0.00124415895306252,0.0
53,May 2015,0.0089974956151831,0.0
54,June 2015,0.0036572518903370383,0.0
55,July 2015,0.004797943191922956,0.0
56,August 2015,0.0005873453411294652,0.0
57,September 2015,0.0014150356831812978,0.0
58,October 2015,0.00500830323679346,0.0
59,November 2015,0.010381217813720088,-1.635970093141321e-05
60,December 2015,0.015531648848228871,-0.00013073227690799807
61,January 2016,0.006663899532892523,0.0
62,February 2016,0.009763081093844949,0.0
63,March 2016,0.014726531712343898,0.0
64,April 2016,0.01422840677433596,-0.00016755265861014126
65,May 2016,0.008552484004387358,0.0
66,June 2016,0.0005974603246116338,0.0
67,July 2016,0.0022096784874599605,0.0
68,August 2016,0.0,0.0
69,September 2016,0.005821454706598356,0.0
70,October 2016,0.05554821048458013,-3.9620105188821185e-05
71,November 2016,0.0737170539642642,0.0
72,December 2016,0.023896233702084102,-0.0006168589559889077
73,January 2017,0.027515009113104654,0.0
74,February 2017,0.056237483775723074,-0.00017874447481829316
75,March 2017,0.01754077575178683,-0.0002582832033596806
76,April 2017,0.04996574488447495,0.0
77,May 2017,0.06206397109101047,-1.4203944066055404e-05
78,June 2017,0.014606394667987785,-0.00024414515986077205
79,July 2017,0.025458950438831104,-7.776321007854074e-05
80,August 2017,0.05090234370145312,0.0
81,September 2017,0.021466694853216464,0.0
82,October 2017,0.02626559249810566,0.0
83,November 2017,0.04072856323335524,0.0
84,December 2017,0.02065324459364491,-0.00015105269224403303
85,January 2018,0.007704560828640343,-3.6029812257805785e-05
86,February 2018,0.007293793120724034,0.0
87,March 2018,0.024609712732537137,0.0
88,April 2018,0.018685517095689497,-1.5609425696980297e-05
89,May 2018,0.023878947469524438,0.0
90,June 2018,0.016134658800196107,0.0
91,July 2018,0.003197461703163564,-0.00013497921674716855
92,August 2018,0.03372122176068675,0.0
