Date,Price
2010-12-01 16:45:00,20.08
2010-12-02 04:45:00,20.0
2010-12-03 22:30:00,20.11
2010-12-04 06:00:00,20.1
2010-12-04 07:15:00,22.76
2010-12-05 00:15:00,20.2
2010-12-05 01:00:00,19.81
2010-12-05 01:30:00,19.89
2010-12-05 02:00:00,20.18
2010-12-08 00:45:00,20.65
2010-12-08 10:30:00,29.76
2010-12-11 09:00:00,19.92
2010-12-15 04:30:00,19.93
2010-12-16 06:00:00,19.85
2010-12-16 06:45:00,25.4
2010-12-20 04:30:00,19.93
2010-12-20 23:30:00,19.81
2010-12-21 06:00:00,20.29
2010-12-22 06:45:00,20.02
2010-12-26 16:45:00,19.97
2010-12-26 17:45:00,21.29
2010-12-27 23:30:00,20.66
2010-12-28 04:30:00,20.31
2010-12-28 05:45:00,20.99
2010-12-29 04:45:00,20.01
2010-12-30 06:00:00,20.1
2010-12-30 22:30:00,20.03
2010-12-31 06:45:00,19.91
2011-01-04 03:30:00,20.25
2011-01-05 00:30:00,20.04
2011-01-05 01:15:00,19.85
2011-01-05 04:30:00,20.97
2011-01-09 05:00:00,19.9
2011-01-18 03:30:00,20.57
2011-01-19 13:30:00,21.74
2011-01-19 15:30:00,20.66
2011-01-20 00:30:00,22.22
2011-01-20 02:15:00,20.03
2011-01-20 03:15:00,20.08
2011-01-20 05:00:00,20.2
2011-01-22 17:45:00,19.89
2011-01-22 23:30:00,25.809999999999995
2011-01-28 00:45:00,20.64
2011-01-28 02:30:00,19.78
2011-01-29 06:30:00,19.82
2011-01-29 16:00:00,20.42
2011-01-29 16:45:00,20.37
2011-01-30 06:45:00,20.88
2011-01-30 08:45:00,21.46
2011-01-31 00:30:00,23.68
2011-01-31 05:15:00,20.65
2011-01-31 18:00:00,20.77
2011-02-01 04:30:00,20.85
2011-02-01 05:00:00,20.36
2011-02-01 05:30:00,21.69
2011-02-01 09:45:00,21.8
2011-02-02 23:15:00,39.1
2011-02-03 08:15:00,58.13000000000001
2011-02-03 21:30:00,79.86
2011-02-05 18:00:00,22.21
2011-02-06 18:30:00,21.18
2011-02-06 21:45:00,21.48
2011-02-07 05:45:00,20.18
2011-02-08 14:15:00,19.88
2011-02-08 17:45:00,20.94
2011-02-09 04:45:00,20.23
2011-02-10 07:30:00,57.86
2011-02-12 16:45:00,19.88
2011-02-12 18:00:00,20.58
2011-02-13 18:15:00,21.35
2011-02-14 05:45:00,20.91
2011-02-15 06:00:00,20.24
2011-02-15 08:00:00,22.01
2011-02-15 10:00:00,22.15
2011-02-16 05:45:00,21.04
2011-02-17 05:30:00,20.16
2011-02-17 06:00:00,20.34
2011-02-17 08:00:00,22.28
2011-02-18 05:00:00,21.46
2011-02-18 23:30:00,20.53
2011-02-19 00:30:00,20.28
2011-02-19 05:00:00,20.13
2011-02-20 09:00:00,21.54
2011-02-20 23:30:00,20.4
2011-02-21 06:00:00,19.84
2011-02-21 06:45:00,19.92
2011-02-22 23:45:00,22.04
2011-02-23 06:00:00,20.92
2011-02-24 05:45:00,21.0
2011-02-25 04:30:00,19.95
2011-02-25 05:45:00,21.17
2011-02-26 00:30:00,21.94
2011-02-26 23:45:00,20.46
2011-02-27 08:00:00,19.93
2011-02-27 08:30:00,20.16
2011-02-28 00:30:00,20.55
2011-02-28 06:00:00,19.79
2011-03-02 05:00:00,20.93
2011-03-02 05:30:00,21.45
2011-03-03 05:30:00,20.48
2011-03-04 06:00:00,20.18
2011-03-05 00:45:00,21.95
2011-03-05 06:45:00,22.34
2011-03-05 07:30:00,19.94
2011-03-05 08:00:00,22.59
2011-03-06 17:45:00,19.83
2011-03-06 23:30:00,21.31
2011-03-07 00:00:00,20.13
2011-03-07 05:15:00,21.33
2011-03-08 05:00:00,19.78
2011-03-08 23:30:00,20.51
2011-03-09 00:30:00,19.8
2011-03-09 04:30:00,21.3
2011-03-10 03:30:00,20.08
2011-03-10 04:00:00,20.99
2011-03-10 22:00:00,23.06
2011-03-10 23:30:00,23.05
2011-03-11 04:00:00,20.37
2011-03-11 05:00:00,20.22
2011-03-11 10:30:00,23.65
2011-03-11 11:00:00,22.95
2011-03-11 23:00:00,22.26
2011-03-11 23:30:00,21.1
2011-03-12 06:00:00,59.4
2011-03-12 09:30:00,21.42
2011-03-13 02:15:00,19.97
2011-03-13 03:45:00,21.34
2011-03-13 09:15:00,21.28
2011-03-14 06:45:00,21.75
2011-03-15 05:45:00,20.26
2011-03-15 06:45:00,20.03
2011-03-16 05:00:00,19.89
2011-03-16 07:15:00,20.16
2011-03-16 08:45:00,20.84
2011-03-17 00:45:00,20.04
2011-03-17 07:45:00,20.22
2011-03-17 09:30:00,21.1
2011-03-18 01:15:00,21.82
2011-03-18 01:45:00,21.19
2011-03-18 06:00:00,19.98
2011-03-18 07:00:00,21.41
2011-03-19 01:30:00,24.49
2011-03-19 04:30:00,21.99
2011-03-19 05:45:00,21.44
2011-03-19 06:45:00,20.92
2011-03-20 06:00:00,95.72
2011-03-20 09:00:00,19.94
2011-03-21 00:30:00,19.88
2011-03-21 05:30:00,21.71
2011-03-22 00:30:00,22.59
2011-03-22 05:30:00,19.96
2011-03-23 06:45:00,24.62
2011-03-23 08:30:00,21.28
2011-03-24 00:30:00,21.34
2011-03-24 01:30:00,19.81
