Date,Value
2010-12-01,10000.0
2010-12-02,9810.2092
2010-12-03,10010.0092
2010-12-04,9828.826399999998
2010-12-05,9873.6148
2010-12-06,10119.5605
2010-12-07,10119.5605
2010-12-08,9947.7889
2010-12-09,10588.0213
2010-12-10,10588.0213
2010-12-11,10524.3577
2010-12-12,10723.358500000002
2010-12-13,10723.358500000002
2010-12-14,10723.358500000002
2010-12-15,10532.868200000004
2010-12-16,10551.7889
2010-12-17,10814.9477
2010-12-18,10814.9477
2010-12-19,10814.9477
2010-12-20,10631.4644
2010-12-21,10647.2862
2010-12-22,10849.983299999998
2010-12-23,10856.8902
2010-12-24,10856.8902
2010-12-25,10856.8902
2010-12-26,10856.8902
2010-12-27,10873.9829
2010-12-28,10694.1905
2010-12-29,10928.3993
2010-12-30,10742.6139
2010-12-31,10760.53
2011-01-01,10959.4309
2011-01-02,10959.4309
2011-01-03,10959.4309
2011-01-04,10771.2429
2011-01-05,10973.5404
2011-01-06,11001.2521
2011-01-07,11001.2521
2011-01-08,11001.2521
2011-01-09,10805.4565
2011-01-10,11004.2575
2011-01-11,11004.2575
2011-01-12,11004.2575
2011-01-13,11004.2575
2011-01-14,11004.2575
2011-01-15,11004.2575
2011-01-16,11004.2575
2011-01-17,11004.2575
2011-01-18,10811.1646
2011-01-19,11016.6589
2011-01-20,11058.2533
2011-01-21,11137.8839
2011-01-22,11137.8839
2011-01-23,11237.9708
2011-01-24,11237.9708
2011-01-25,11237.9708
2011-01-26,11237.9708
2011-01-27,11237.9708
2011-01-28,11063.4965
2011-01-29,11271.296500000002
2011-01-30,11147.261600000005
2011-01-31,11388.156300000004
2011-02-01,11280.448
2011-02-02,11579.554499999998
2011-02-03,14066.757999999998
2011-02-04,19003.9332
2011-02-05,19003.9332
2011-02-06,19055.7412
2011-02-07,18926.86009999999
2011-02-08,19128.45829999999
2011-02-09,18991.806199999995
2011-02-10,19193.903899999994
2011-02-11,19815.76909999999
2011-02-12,19815.76909999999
2011-02-13,19844.78969999999
2011-02-14,19699.31779999999
2011-02-15,19908.208699999992
2011-02-16,19929.24299999999
2011-02-17,19960.053399999993
2011-02-18,20096.33519999999
2011-02-19,20327.82749999999
2011-02-20,20174.26669999999
2011-02-21,20217.872299999988
2011-02-22,20450.91069999999
2011-02-23,20297.116699999995
2011-02-24,20343.044599999994
2011-02-25,20370.1521
2011-02-26,20409.2696
2011-02-27,20635.3483
2011-02-28,20705.317199999994
2011-03-01,20772.578399999995
2011-03-02,20581.787799999995
2011-03-03,20683.9431
2011-03-04,20701.9519
2011-03-05,20716.7635
2011-03-06,21111.6233
2011-03-07,21322.3096
2011-03-08,21196.757999999994
2011-03-09,21261.41759999999
2011-03-10,21323.45839999999
2011-03-11,21479.072
2011-03-12,21934.618699999995
2011-03-13,22593.6623
2011-03-14,22644.162199999995
2011-03-15,22683.767199999995
2011-03-16,22727.5059
2011-03-17,22776.938699999995
2011-03-18,22823.6594
2011-03-19,23013.3626
2011-03-20,23155.7298
2011-03-21,23980.5429
2011-03-22,24025.957299999995
2011-03-23,24073.054199999995
2011-03-24,24150.414399999994
2011-03-25,24237.05899999999
2011-03-26,24379.47939999999
2011-03-27,24411.21169999999
2011-03-28,24411.21169999999
2011-03-29,24411.21169999999
2011-03-30,24449.73179999999
2011-03-31,24270.75299999999
2011-04-01,24360.96079999999
2011-04-02,24559.96159999999
2011-04-03,24594.77259999999
2011-04-04,24611.56559999999
2011-04-05,24611.56559999999
2011-04-06,24611.56559999999
2011-04-07,24615.570599999992
2011-04-08,24812.02499999999
2011-04-09,24812.02499999999
2011-04-10,24846.64579999999
2011-04-11,24861.15649999999
2011-04-12,24861.15649999999
2011-04-13,24883.354099999986
2011-04-14,24926.94849999999
2011-04-15,24926.94849999999
2011-04-16,24926.94849999999
2011-04-17,24926.94849999999
2011-04-18,25056.12469999999
2011-04-19,25056.12469999999
2011-04-20,25056.12469999999
2011-04-21,25056.12469999999
2011-04-22,25056.12469999999
2011-04-23,25104.71669999999
2011-04-24,25104.71669999999
2011-04-25,25104.71669999999
2011-04-26,25104.71669999999
2011-04-27,25104.71669999999
2011-04-28,25104.71669999999
2011-04-29,24970.23899999999
2011-04-30,25232.13229999999
2011-05-01,25268.717099999994
2011-05-02,25371.39899999999
2011-05-03,25519.38859999999
2011-05-04,26349.365799999985
2011-05-05,26561.153799999985
2011-05-06,26590.452099999984
2011-05-07,26590.452099999984
2011-05-08,26604.751399999986
2011-05-09,26610.858499999984
2011-05-10,26638.35219999998
2011-05-11,26651.555999999986
2011-05-12,26651.555999999986
2011-05-13,26651.555999999986
2011-05-14,26655.76319999999
2011-05-15,26659.669899999986
2011-05-16,26851.54759999999
2011-05-17,26851.54759999999
2011-05-18,26871.847899999986
2011-05-19,26901.85149999999
2011-05-20,26901.85149999999
2011-05-21,26901.85149999999
2011-05-22,28979.673699999985
2011-05-23,28979.673699999985
2011-05-24,28979.673699999985
2011-05-25,28979.673699999985
2011-05-26,28979.673699999985
2011-05-27,28979.673699999985
2011-05-28,28979.673699999985
2011-05-29,28979.673699999985
2011-05-30,28997.876499999995
2011-05-31,28997.876499999995
2011-06-01,29888.976899999994
2011-06-02,29888.976899999994
2011-06-03,29909.486799999995
2011-06-04,29909.486799999995
2011-06-05,29936.77529999999
2011-06-06,29972.756699999984
2011-06-07,29984.667399999984
2011-06-08,29992.773899999986
2011-06-09,30027.486199999985
2011-06-10,30027.486199999985
2011-06-11,30048.8894
2011-06-12,30048.8894
2011-06-13,30061.710799999986
2011-06-14,30061.710799999986
2011-06-15,30061.710799999986
2011-06-16,30061.710799999986
2011-06-17,30061.710799999986
2011-06-18,30061.710799999986
2011-06-19,30061.710799999986
2011-06-20,30061.710799999986
2011-06-21,30061.710799999986
2011-06-22,30061.710799999986
2011-06-23,30061.710799999986
2011-06-24,30082.701999999987
2011-06-25,30082.701999999987
2011-06-26,30082.701999999987
2011-06-27,30082.701999999987
2011-06-28,30082.701999999987
2011-06-29,30082.701999999987
2011-06-30,30082.701999999987
2011-07-01,30091.99949999999
